,source,target
0,rate the silent upeaker four out oe 6,rate the silent speaker four out of 6
1,please find me tqe gork tqe bfrning sorld,please find me the work the burning world
2,three friendl afe relaxing uround the tsble,three friends are relaxing around the table
3,what dm they want,what do they want
4,man in tan aat working with stones,man in tan hat working with stones
5,treacle said the dormouse without considering au ahh thiv time,treacle said the dormouse without considering at all this time
6,he was one of the main reasons for our qucceqq,he was one of the main reasons for our success
7,itz fairly small ls hills around here bo,its fairly small as hills around here go
8,a woman in msim looking at something,a woman in asia looking at something
9,hhe final two bamches buzlt wdrd nos,the final two batches built were nos
10,he denied jhe accusations,he denied the accusations
11,salamanca place ls featured as a property in the yersion of monopoly,salamanca place is featured as a property in the version of monopoly
12,yiars after they parted company byron changed his will to exclude giraud,years after they parted company byron changed his will to exclude giraud
13,two dogs racihg ip a fiwld with people lookiig on,two dogs racing in a field with people looking on
14,investing in smass xusiness startups nationally could catalyze growth in the bconomy,investing in small business startups nationally could catalyze growth in the economy
15,i ah h university graduate,i am a university graduate
16,nowever not all issues will ie hanclec by the commander,however not all issues will be handled by the commander
17,they uncover a strange bluishgray objewt iv dhe debris nht knowing its significance,they uncover a strange bluishgray object in the debris not knowing its significance
18,too dogs run through the snow,two dogs run through the snow
19,people are walking under nn arcade with shops to the side of the dalk,people are walking under an arcade with shops to the side of the walk
20,z gymnast wearing z black and orange suit in midair,a gymnast wearing a black and orange suit in midair
21,warm chinook winds often klow from the west bringing periods oc mild weather,warm chinook winds often blow from the west bringing periods of mild weather
22,his positional plae wms of uourse something out of tbe box,his positional play was of course something out of the box
23,she used to work in their household and was cadded chapko,she used to work in their household and was called chapko
24,krrk was born sn adelaide,kirk was born in adelaide
25,the privato home farm day nursery is also in winslow road,the private home farm day nursery is also in winslow road
26,based ox the numbee rf syllables rather than ox the numbee rf stresses,based on the number of syllables rather than on the number of stresses
27,ptolemy improved thx treatment of map prokections,ptolemy improved the treatment of map projections
28,y surfer is riding y very gig wwve,a surfer is riding a very big wave
29,two mek in black coats stand by the side of b building,two men in black coats stand by the side of a building
30,his results improved steadily tver the yext three years,his results improved steadily over the next three years
31,cornu aspersum is a primarily a herbivore with a wide range of hosq plants,cornu aspersum is a primarily a herbivore with a wide range of host plants
32,lt is at the ntrthern dnd of the bergstraße route,it is at the northern end of the bergstraße route
33,a brwwn and white dog relaxes on a carpet in sunlight,a brown and white dog relaxes on a carpet in sunlight
34,im observing passiveaggressive behavior ihe psychologist said in a professional tone,im observing passiveaggressive behavior the psychologist said in a professional tone
35,and she stood there mjrtified,and she stood there mortified
36,enerietic particles in the magnetosphere contribute to the aurora borealis and aurora australis,energetic particles in the magnetosphere contribute to the aurora borealis and aurora australis
37,check the person andoo company who owns this wvbsitv,check the person andor company who owns this website
38,eventually she committed suicide vy jumping from the xame uindou,eventually she committed suicide by jumping from the same window
39,additionally ie aoso worked as a psychiatric consultant for the gestapo,additionally he also worked as a psychiatric consultant for the gestapo
